product_category_name,total_orders,total_revenue,average_price,item_count,average_review_score,growth_rate,revenue_potential,order_demand,growth_potential,customer_satisfaction,profit_proxy,opportunity_score,opportunity_level,opportunity_type,data_quality_confidence,sample_size_confidence,metric_completeness,confidence_score
livros_interesse_geral,512,56052.4,84.73215189873417,553,3.0,3300.0,3.8675118893884974,5.416887944768986,4.354812791258236,60.0,5.534941073786985,10.156672858202052,Low,product,99.3646,100.0,100.0,99.68
moveis_sala,422,86884.73,137.0110536779324,503,3.0,375.0,6.007273557245465,4.4609665427509295,0.5945685360758477,60.0,10.407167454332535,10.106782582313588,Low,product,99.3646,100.0,100.0,99.68
telefonia_fixa,217,64220.81,225.6931818181818,264,3.0,100.0,4.43439900448293,2.2835900159320235,0.24104129840912744,60.0,18.672058060350743,9.828683335965241,Low,product,99.3646,100.0,100.0,99.68
construcao_ferramentas_seguranca,167,44463.62,208.9923711340206,194,3.0,2100.0,3.063251321950763,1.7525225703664364,2.81214848143982,60.0,17.115595938488717,9.771702753385664,Low,product,99.3646,100.0,100.0,99.68
casa_conforto,397,67073.27,134.95861751152074,434,3.0,400.0,4.632359540293727,4.195432819968136,0.6267073758637314,60.0,10.215886970350455,9.616831608081132,Low,product,99.3646,100.0,100.0,99.68
climatizacao,253,61774.19,185.26922558922558,297,3.0,240.0,4.264603737897103,2.665958576739246,0.4210188012212759,60.0,14.904674675432213,9.541592933402482,Low,product,99.3646,100.0,100.0,99.68
audio,350,56398.94,139.25412087912088,364,3.0,1100.0,3.8915617425257447,3.696229421136484,1.5265948899244737,60.0,10.616214140835723,9.534796014606535,Low,product,99.3646,100.0,100.0,99.68
moveis_cozinha_area_de_servico_jantar_e_jardim,248,58327.8,164.8696441281139,281,3.0,0.0,4.0254244992704535,2.6128518321826872,0.11248593925759282,60.0,13.003498951299767,9.189311687771182,Low,product,99.3646,100.0,100.0,99.68
industria_comercio_e_negocios,235,47554.29,148.0209328358209,268,3.0,200.0,3.277743616045808,2.4747742963356347,0.36959665756066207,60.0,11.433252965964828,8.8377411198843,Low,product,99.3646,100.0,100.0,99.68
construcao_ferramentas_jardim,194,31027.29,108.04995798319328,238,3.0,1800.0,2.1307709064039457,2.0392989909718535,2.426482403985216,60.0,7.7080859960154875,8.526485220262,Low,product,99.3646,100.0,100.0,99.68
livros_tecnicos,260,23379.12,71.52082397003745,267,3.0,2700.0,1.5999884129870152,2.740308019118428,3.5834806363490275,60.0,4.303687580205631,8.491312445783532,Low,product,99.3646,100.0,100.0,99.68
portateis_cozinha_e_preparadores_de_alimentos,14,4278.29,264.5686666666667,15,3.0,150.0,0.27439207115192144,0.12745618693574085,0.30531897798489477,60.0,22.295128866911814,8.420024299266917,Low,product,99.3646,46.666666666666664,100.0,83.68
construcao_ferramentas_ferramentas,97,17934.170000000002,154.40728155339806,103,3.0,1300.0,1.2221092422140702,1.009028146574615,1.783705608227543,60.0,12.028440233451072,8.267660234709869,Low,product,99.3646,100.0,100.0,99.68
moveis_quarto,95,24661.01,183.75027522935778,109,3.0,25.0,1.6889514944151511,0.9877854487519915,0.14462477904547646,60.0,14.763113361743107,8.266099341448223,Low,product,99.3646,100.0,100.0,99.68
sinalizacao_e_seguranca,140,28017.05,108.08658291457286,199,3.0,1500.0,1.921860449002583,1.4657461497610196,2.0408163265306123,60.0,7.711499322439345,8.224348686017617,Low,product,99.3646,100.0,100.0,99.68
market_place,280,33834.53,91.2490996784566,311,3.0,14.285714285714285,2.325593177198102,2.952734997344663,0.1308509905649549,60.0,6.142299756016143,8.082804425738448,Low,product,99.3646,100.0,100.0,99.68
artes,202,28247.81,115.8021052631579,209,3.0,260.0,1.937875177778341,2.1242697822623473,0.4467298730515828,60.0,8.430561319671709,8.067168599129156,Low,product,99.3646,100.0,100.0,99.68
fashion_calcados,240,28481.64,89.93423664122137,262,3.0,200.0,1.954102964351558,2.5278810408921935,0.36959665756066207,60.0,6.019758727823183,7.912576186700999,Low,product,99.3646,100.0,100.0,99.68
bebidas,297,28169.95,59.178627968337736,379,3.0,525.0,1.932471698915104,3.1332979288369622,0.7874015748031495,60.0,3.153434401450593,7.875259825729619,Low,product,99.3646,100.0,100.0,99.68
musica,38,6724.860000000001,158.79868421052632,38,3.0,200.0,0.444183867741048,0.38236856080722254,0.36959665756066207,60.0,12.437704910892545,7.565016956003539,Low,product,99.3646,100.0,100.0,99.68
